Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1787358153,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1787358154,3,,Aggregated,0.000000,0.000000,0,0,98,98,98,98,98,98,98,98,98,3,0,0,32.61036666420599,0,97.83109999261796,4801.666666666667
1787358155,3,,Aggregated,0.000000,0.000000,0,0,98,98,98,98,98,98,98,98,98,3,0,0,32.61036666420599,0,97.83109999261796,4801.666666666667
1787358156,3,,Aggregated,0.000000,0.000000,0,0,98,98,98,98,98,98,98,98,98,3,0,0,32.61036666420599,0,97.83109999261796,4801.666666666667
1787358157,3,,Aggregated,0.000000,0.000000,0,0,98,98,98,98,98,98,98,98,98,3,0,0,32.61036666420599,0,97.83109999261796,4801.666666666667
1787358158,3,,Aggregated,1.500000,0.000000,98,180,180,3000,3000,3000,3000,3000,3000,3000,3000,5,0,98,661.6118800011463,0,3032.0000000065193,4329.4
1787358159,3,,Aggregated,0.750000,0.000000,180,180,3000,3000,4600,4600,4600,4600,4600,4600,4600,6,0,98,1324.843233334832,0,4641.00000000326,4801.666666666667
1787358160,3,,Aggregated,0.750000,0.000000,180,180,3000,3000,4600,4600,4600,4600,4600,4600,4600,6,0,98,1324.843233334832,0,4641.00000000326,4801.666666666667
1787358161,3,,Aggregated,1.000000,0.000000,98,180,3000,3000,4600,4600,4600,4600,4600,4600,4600,7,0,98,1140.5226428593908,0,4641.00000000326,4127.0
1787358162,3,,Aggregated,0.833333,0.000000,98,180,3000,4000,4600,4600,4600,4600,4600,4600,4600,9,0,98,1334.9620555592182,0,4641.00000000326,4801.666666666667
1787358321,3,,Aggregated,0.833333,0.000000,98,180,3000,4000,4600,4600,4600,4600,4600,4600,4600,9,0,98,1334.9620555592182,0,4641.00000000326,4801.666666666667
1787358325,3,,Aggregated,0.000000,0.000000,180,3000,4000,4000,4600,164000,164000,164000,164000,164000,164000,12,2,98,14982.730491673768,0,164094.00000004098,4198.166666666667
